Concelho,Nome_Entidade,Frequência [MHz],PAR [W],Raio [Km],Morada_Estação,Local_Estação,PS,PI,AF,Cobertura,Microcobertura,Desc_Operador,Latitude PlaGE,Longitude PlaGE,Latitude Corrigida,Longitude Corrigida,Coord Corrig.,Distrito,Concelho,Freguesia
Elvas,"Rádio e Televisão de Portugal, S.A.",     93.200000,8000.000,66.5852627137612,VILA BOIM,VILA BOIM,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,38.875277778,-7.263333333,38.875277778,-7.263611111,Sim,Portalegre,Elvas,São Brás e São Lourenço
Elvas,"Rádio e Televisão de Portugal, S.A.",    101.600000,8000.000,66.5852627137612,VILA BOIM,VILA BOIM,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,38.875277778,-7.263333333,38.875277778,-7.263611111,Sim,Portalegre,Elvas,São Brás e São Lourenço
Elvas,"SER - Sociedade Elvense de Radiodifusão, Lda.",     91.500000,500.000,33.2926313568806,,VILA BOIM,RADELVAS,84CE,S,Local,Não,,38.875555556,-7.263888889,38.875555556,-7.263888889,Sim,Portalegre,Elvas,Terrugem e Vila Boim
Elvas,"SER - Sociedade Elvense de Radiodifusão, Lda.",    104.300000,50.000,18.721822436302,"Rua dos Chilões, Elvas",ELVAS,RADELVAS,84CE,S,Local,Sim,,38.879166667,-7.1625,38.878611111,-7.161944444,Sim,Portalegre,Elvas,"Caia, São Pedro e Alcáçova"
Elvas,"SER - Sociedade Elvense de Radiodifusão, Lda.",    103.000000,50.000,18.721822436302,RUA DE SÃO VICENTE,SÃO VICENTE,RADELVAS,84CE,S,Local,Sim,,38.953888889,-7.2125,38.953055556,-7.210277778,Sim,Portalegre,Elvas,São Vicente e Ventosa
Elvas,"Rádio Comercial, S.A.",    105.900000,1000.000,39.5918340867651,ELVAS,Vila Boim,COMRCIAL,8203.000,S,Nacional,Não,Cobertura Nacional,38.875555556,-7.263888889,38.875555556,-7.263888889,Sim,Portalegre,Elvas,Terrugem e Vila Boim
Elvas,"Rádio Renascença, Lda.",     99.800000,1000.000,39.5918340867651,VILA BOIM,ELVAS,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,38.861388889,-7.267222222,38.866944444,-7.250277778,Sim,Portalegre,Elvas,Terrugem e Vila Boim
Elvas,"Rádio Renascença, Lda.",    102.300000,100.000,22.2641244470679,LARGO  DA ALCÁÇOVAS,ELVAS,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,38.8825,-7.163611111,38.8825,-7.163611111,Sim,Portalegre,Elvas,"Caia, São Pedro e Alcáçova"
Elvas,"Rádio Renascença, Lda.",    107.100000,1000.000,39.5918340867651,VILA BOIM,ELVAS,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,38.861388889,-7.267222222,38.866944444,-7.250277778,Sim,Portalegre,Elvas,Terrugem e Vila Boim
Entroncamento,"RVE - Sociedade Radiofónica, Lda.",    105.700000,1000.000,39.5918340867651,DEPÓSITO DE ÁGUA,ENTRONCAMENTO,RADIOVOZ,8090.000,N,Local,Não,,39.470833333,-8.470833333,39.470833333,-8.470833333,Não,Santarém,Entroncamento,Nossa Senhora de Fátima
Entroncamento,"CR - Comunicação Regional, Lda.",     88.400000,1000.000,39.5918340867651,LUGAR DAS VENDAS,GOLEGÃ,,,,Local,Não,,39.443055556,-8.473055556,39.443055556,-8.473055556,Não,Santarém,Entroncamento,São João Baptista
Estarreja,"Rádio Voz da Ria - Emissora Concelhia de Estarreja, C.R.L.",     90.200000,1000.000,39.5918340867651,TORRE BOMBEIROS VOLUNTÁRIOS ESTARREJA,Estarreja,VOZDARIA,80000.000,N,Local,Não,,40.761111111,-8.5725,40.753055556,-8.570555556,Sim,Aveiro,Estarreja,Beduído e Veiros
Évora,"DIANA FM - Radiodifusão, Unipessoal, Lda.",     94.100000,2000.000,47.0828907919883,ÉVORA,SÃO BENTO DE CASTRIS,DIANA-EV,808A,N,Local,Não,,38.5825,-7.936388889,38.580833333,-7.938055556,Sim,Évora,Évora,Malagueira e Horta das Figueiras
Évora,"Difusão de Ideias - Sociedade de Radiodifusão, Lda.",    105.400000,2000.000,47.0828907919883,ÉVORA,SÃO BENTO DE CASTRIS,R- JOVEM,808F,N,Local,Não,,38.5825,-7.936388889,38.581388889,-7.938055556,Sim,Évora,Évora,Malagueira e Horta das Figueiras
Évora,"Piçarra & Companhia, Lda.",    103.200000,2000.000,47.0828907919883,ÉVORA,SÃO BENTO DE CASTRIS,TELFONIA,80D0,N,Local,Não,,38.581388889,-7.938333333,38.581388889,-7.938055556,Sim,Évora,Évora,Malagueira e Horta das Figueiras
Fafe,"Empresa do Jornal O Correio de Fafe, Lda.",    103.800000,1000.000,39.5918340867651,SERRA DO MAROIÇO,Fafe,M80MINHO,8085.000,N,Local,Não,,41.541666667,-8.148333333,41.541666667,-8.148055556,Sim,Braga,Fafe,Monte e Queimadela
Faro,"Rádio e Televisão de Portugal, S.A.",     97.600000,10000.000,70.4053433621716,SÃO MIGUEL,FARO,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,37.101388889,-7.831944444,37.101388889,-7.831944444,Sim,Faro,Faro,Conceição e Estoi
Faro,"Rádio e Televisão de Portugal, S.A.",     93.400000,10000.000,70.4053433621716,SÃO MIGUEL,FARO,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,37.101388889,-7.831944444,37.101388889,-7.831944444,Sim,Faro,Faro,Conceição e Estoi
Faro,"Rádio e Televisão de Portugal, S.A.",    100.700000,10000.000,70.4053433621716,SÃO MIGUEL,FARO,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,37.101388889,-7.831944444,37.101388889,-7.831944444,Sim,Faro,Faro,Conceição e Estoi
Faro,"Rádio e Televisão de Portugal, S.A.",     99.100000,1000.000,39.5918340867651,SÃO MIGUEL,FARO,AFRICA,8458.000,S,Local,Não,RDP África,37.101388889,-7.831944444,37.101388889,-7.831944444,Sim,Faro,Faro,Conceição e Estoi
Felgueiras,"Rádio Felgueiras, C.R.L.",     92.200000,1000.000,39.5918340867651,MONTE DE SÃO DOMINGOS,MARGARIDE,RF FELG,8070.000,N,Local,Não,,41.373333333,-8.193333333,41.377777778,-8.2,Sim,Porto,Felgueiras,"Margaride, Várzea, Lagares, Varziela, Moure"
Ferreira do Alentejo,"Rádio Singa, C.R.L.",    104.000000,500.000,33.2926313568806,DEPÓSITO DE ÁGUA DO PEREIRO,FERREIRA DO ALENTEJO,SINGA FM,80BB,N,Local,Não,,38.05,-8.1025,38.053055556,-8.108055556,Sim,Beja,Ferreira do Alentejo,Ferreira do Alentejo e Canhestros
Ferreira do Zêzere,"Empresa Editora Cidade de Tomar, Lda.",     90.500000,2000.000,47.0828907919883,IGREJA NOVA,ALTO DE SANTA CATARINA,CIDTOMAR,8039.000,N,Local,Não,,39.689444444,-8.322222222,39.689444444,-8.322222222,Não,Santarém,Ferreira do Zêzere,Igreja Nova do Sobral
Ferreira do Zêzere,Associação Cultural Regional do Zêzere,    102.700000,1000.000,39.5918340867651,IGREJA NOVA DO SOBRAL,SERRA SANTA CATARINA,ERZ-FZZ,80F8,N,Local,Não,,39.693333333,-8.3225,39.693333333,-8.3225,Não,Santarém,Ferreira do Zêzere,Igreja Nova do Sobral
Figueira da Foz,"Foz do Mondego - Meios de Radiodifusão, Lda.",     99.100000,2000.000,47.0828907919883,LUGAR DO ALTO DE BRENHA,BRENHA,FFOZ99.1,8099.000,N,Local,Não,,40.192222222,-8.841944444,40.192222222,-8.841944444,Sim,Coimbra,Figueira da Foz,Quiaios
Figueira da Foz,"RECORD FM - Sociedade de Meios Audiovisuais de Sintra, Lda.",     92.100000,2000.000,47.0828907919883,CASAL DO MATO,ALTO DO CABECINHO,MAIORCA,806C,N,Local,Não,,40.175833333,-8.787222222,40.174722222,-8.788333333,Sim,Coimbra,Figueira da Foz,Alhadas
Figueira de Castelo Rodrigo,"Rádio e Televisão de Portugal, S.A.",     97.200000,20000.000,83.7265352605041,Serra da Marofa,SERRA DA MAROFA,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,40.866666667,-6.992222222,40.864166667,-6.992777778,Sim,Guarda,Figueira de Castelo Rodrigo,Castelo Rodrigo
Figueira de Castelo Rodrigo,"Rádio e Televisão de Portugal, S.A.",     93.400000,20000.000,83.7265352605041,Serra da Marofa,SERRA DA MAROFA,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,40.866666667,-6.992222222,40.864166667,-6.992777778,Sim,Guarda,Figueira de Castelo Rodrigo,Castelo Rodrigo
Figueira de Castelo Rodrigo,"Rádio e Televisão de Portugal, S.A.",    104.600000,10000.000,70.4053433621716,Serra da Marofa,SERRA DA MAROFA,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,40.866666667,-6.992222222,40.864166667,-6.992777778,Sim,Guarda,Figueira de Castelo Rodrigo,Castelo Rodrigo
Figueira de Castelo Rodrigo,"RÁDIO NOTICIAS - Produções e Publicidade, S.A.",    105.400000,10000.000,70.4053433621716,,SERRA DA MAROFA,TSF,8343.000,S,Regional,Não,Cobertura Regional Norte,40.863888889,-6.991944444,40.864722222,-6.992222222,Sim,Guarda,Figueira de Castelo Rodrigo,Colmeal e Vilar Torpim
Figueira de Castelo Rodrigo,"Rádio Renascença, Lda.",     94.200000,16000.001,79.1836694107749,,SERRA DA MAROFA,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,40.865,-6.990555556,40.864166667,-6.991944444,Sim,Guarda,Figueira de Castelo Rodrigo,Castelo Rodrigo
Figueira de Castelo Rodrigo,"Rádio Renascença, Lda.",    103.000000,10000.000,70.4053433621716,,SERRA DA MAROFA,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,40.865,-6.990555556,40.864166667,-6.991944444,Sim,Guarda,Figueira de Castelo Rodrigo,Castelo Rodrigo
Figueiró dos Vinhos,"Fercorber - Madeiras e Materiais de Construção, Lda.",     93.400000,500.000,33.2926313568806,CABEÇO DE MALHADIZES,ESPINHAL,S.MIGUEL,80B1,N,Local,Não,,40.007777778,-8.296111111,40.007222222,-8.2975,Sim,Leiria,Figueiró dos Vinhos,Campelo
Fornos de Algodres,Associação de Promoção Social Cultural e Desportiva de Fornos de Algodres,     87.600000,500.000,33.2926313568806,LUGAR DA RASA,INFIAS,IMAGEM,80C9,N,Local,Não,,40.636388889,-7.538611111,40.636388889,-7.538611111,Sim,Guarda,Fornos de Algodres,Infias
Funchal,"Rádio e Televisão de Portugal, S.A.",     95.500000,43999.729,101.968990847879,Achada Grande,Pico do Areeiro,,,,Nacional,Não,Rede 1 de Cobertura Nacional,32.720555556,-16.917222222,32.721388889,-16.916944444,Sim,Madeira,Funchal,Monte
Funchal,"Rádio e Televisão de Portugal, S.A.",     94.100000,43999.729,101.968990847879,Achada Grande,Pico do Areeiro,,,,Nacional,Não,Rede 3 de Cobertura Nacional,32.720555556,-16.917222222,32.721388889,-16.916944444,Sim,Madeira,Funchal,Monte
Funchal,"Rádio e Televisão de Portugal, S.A.",     89.800000,1000.000,39.5918340867651,MONTE,FUNCHAL,,,,Nacional,Não,Rede 3 de Cobertura Nacional,32.6675,-16.906666667,32.671944444,-16.911388889,Sim,Madeira,Funchal,Monte
Funchal,"Rádio e Televisão de Portugal, S.A.",    104.600000,1000.000,39.5918340867651,MONTE,FUNCHAL,,,,Nacional,Não,Rede 1 de Cobertura Nacional,32.6675,-16.906666667,32.671944444,-16.911388889,Sim,Madeira,Funchal,Monte
Funchal,"Rádio e Televisão de Portugal, S.A.",    102.400000,1000.000,39.5918340867651,MONTE,FUNCHAL,,,,Nacional,Não,Rede 2 de Cobertura Nacional,32.6675,-16.906666667,32.671944444,-16.911388889,Sim,Madeira,Funchal,Monte
Funchal,"Rádio e Televisão de Portugal, S.A.",     88.400000,43999.729,101.968990847879,Achada Grande,Pico do Areeiro,,,,Nacional,Não,Rede 2 de Cobertura Nacional,32.720555556,-16.917222222,32.720555556,-16.917222222,Não,Madeira,Funchal,Monte
Funchal,"Notícias 2000 FM - Actividade de Radiodifusão Sonora, Lda.",    100.000000,2000.000,47.0828907919883,MONTE,FUNCHAL,TSF.MAD,8023.000,N,Local,Não,,32.705555556,-16.908611111,32.708055556,-16.912222222,Sim,Madeira,Funchal,Monte
Funchal,"Rádio Clube (Madeira), Lda.",    106.800000,400.000,31.4862267474058,PICO ALTO,MONTE,R-CLUBE,803F,N,Local,Não,,32.693333333,-16.903888889,32.692777778,-16.903055556,Sim,Madeira,Funchal,Monte
Funchal,"Posto Emissor de Radiodifusão do Funchal, Lda.",     92.000000,2000.000,47.0828907919883,Caminho Barreira,Funchal,PEF FM,8099.000,N,Local,Não,,32.684166667,-16.946666667,32.683055556,-16.946944444,Sim,Madeira,Funchal,Santo António
Funchal,"Empresa Jornal da Madeira, Lda.",     88.800000,1000.000,39.5918340867651,MONTE,FUNCHAL,RJM-88.8,8057.000,N,Local,Não,,32.705,-16.908055556,32.708611111,-16.911944444,Sim,Madeira,Funchal,Monte
Fundão,"Rádio e Televisão de Portugal, S.A.",     96.400000,10000.000,70.4053433621716,Serra da Gardunha,SERRA DA GARDUNHA,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,40.103055556,-7.486388889,40.103055556,-7.486388889,Não,Castelo Branco,Fundão,Alcongosta
Fundão,"Rádio e Televisão de Portugal, S.A.",     93.900000,10000.000,70.4053433621716,Serra da Gardunha,SERRA DA GARDUNHA,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,40.103055556,-7.486388889,40.103055556,-7.486388889,Não,Castelo Branco,Fundão,Alcongosta
Fundão,"Rádio e Televisão de Portugal, S.A.",    101.300000,10000.000,70.4053433621716,SERRA DA GARDUNHA,SERRA DA GARDUNHA,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,40.103055556,-7.486388889,40.103055556,-7.486388889,Não,Castelo Branco,Fundão,Alcongosta
Fundão,"Rádio JL FM, Unipessoal, Lda.",    100.800000,1000.000,39.5918340867651,SERRA DA GARDUNHA,TORRE,URBANAFM,8474.000,S,Local,Não,,40.079722222,-7.526666667,40.079722222,-7.526666667,Não,Castelo Branco,Fundão,Souto da Casa
Fundão,"Rádio Comercial, S.A.",     98.200000,10000.000,70.4053433621716,,SERRA DA GARDUNHA,COMRCIAL,8203.000,S,Nacional,Não,Cobertura Nacional,40.105555556,-7.487222222,40.105555556,-7.487222222,Não,Castelo Branco,Fundão,Alcongosta
Fundão,"Rádio Renascença, Lda.",     99.500000,10000.000,70.4053433621716,,SERRA DA GARDUNHA,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,40.079722222,-7.521388889,40.079722222,-7.521388889,Não,Castelo Branco,Fundão,Castelo Novo
Fundão,"Rádio Renascença, Lda.",    103.400000,10000.000,70.4053433621716,,SERRA DA GARDUNHA,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,40.079722222,-7.521388889,40.079722222,-7.521388889,Não,Castelo Branco,Fundão,Castelo Novo
Fundão,"RCB - Rádio Cova da Beira, C.R.L.",    100.000000,500.000,33.2926313568806,SERRA DA GARDUNHA,ALCONGOSTA,R.C.B.,84AE,S,Local,Não,,40.106388889,-7.502777778,40.106388889,-7.502777778,Não,Castelo Branco,Fundão,Alcongosta
Fundão,"RCB - Rádio Cova da Beira, C.R.L.",     92.500000,50.000,18.721822436302,MAUNÇA-SERRA DO AÇOR,CASTELEJO,R.C.B.,84AE,S,Local,Sim,,40.098055556,-7.649444444,40.098055556,-7.649444444,Não,Castelo Branco,Fundão,Castelejo
Góis,"Rádio e Televisão de Portugal, S.A.",     87.900000,100000.000,125.20037245767,TREVIM,LOUSÃ,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,40.091111111,-8.177222222,40.09,-8.178333333,Sim,Coimbra,Góis,Góis
Góis,"Rádio e Televisão de Portugal, S.A.",     89.300000,100000.000,125.20037245767,TREVIM,LOUSÃ,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,40.091111111,-8.177222222,40.09,-8.178333333,Sim,Coimbra,Góis,Góis
Góis,"Rádio e Televisão de Portugal, S.A.",    102.200000,100000.000,125.20037245767,TREVIM,LOUSÃ,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,40.091111111,-8.177222222,40.09,-8.178333333,Sim,Coimbra,Góis,Góis
Góis,"Rádio Clube de Arganil - Cooperativa de Rádio, C.R.L.",     88.500000,500.000,33.2926313568806,SERRA DA AVELEIRA,ARGANIL,ARGANIL,840000000.000,S,Local,Não,,40.186944444,-7.999444444,40.185833333,-8.001111111,Sim,Coimbra,Góis,Cadafaz e Colmeal
Gouveia,"Antena Livre de Gouveia - Cooperativa de Radiodifusão, C.R.L.",     89.600000,1000.000,39.5918340867651,CERCA DOS MARQUESES,S PEDRO,R._LIVRE,801C,N,Local,Não,,40.491944444,-7.5875,40.4925,-7.588333333,Sim,Guarda,Gouveia,Gouveia
Grândola,"Rádio e Televisão de Portugal, S.A.",     99.200000,10000.000,70.4053433621716,Atalaia da Guarida,Grândola,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,38.171666667,-8.644166667,38.171666667,-8.644166667,Não,Setúbal,Grândola,Grândola e Santa Margarida da Serra
Grândola,"Rádio e Televisão de Portugal, S.A.",     90.600000,10000.000,70.4053433621716,ATALAIA DA GUARITA,Grândola,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,38.171388889,-8.644166667,38.171388889,-8.644166667,Não,Setúbal,Grândola,Grândola e Santa Margarida da Serra
Grândola,"Rádio e Televisão de Portugal, S.A.",    103.600000,10000.000,70.4053433621716,ATALAIA DA GUARITA,Grândola,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,38.171388889,-8.644166667,38.171388889,-8.644166667,Não,Setúbal,Grândola,Grândola e Santa Margarida da Serra
Grândola,"Rádio e Televisão de Portugal, S.A.",    106.700000,100.000,22.2641244470679,CARVALHAL,TRÓIA,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,38.485,-8.9,38.485,-8.9,Não,Setúbal,Grândola,Carvalhal
Grândola,"Rádio e Televisão de Portugal, S.A.",     99.700000,100.000,22.2641244470679,CARVALHAL,TRÓIA,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,38.485,-8.9,38.485,-8.9,Não,Setúbal,Grândola,Carvalhal
Grândola,"Rádio e Televisão de Portugal, S.A.",    107.900000,100.000,22.2641244470679,CARVALHAL,TRÓIA,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,38.485,-8.9,38.485,-8.9,Não,Setúbal,Grândola,Carvalhal
Grândola,"Rádio Comercial, S.A.",     96.800000,10000.000,70.4053433621716,ALTO DOS CLEMENTES,GRANDOLA,COMRCIAL,8203.000,S,Nacional,Não,Cobertura Nacional,38.1725,-8.648055556,38.1725,-8.648055556,Não,Setúbal,Grândola,Melides
Grândola,"Rádio Regional de Lisboa - Emissões de Radiodifusão, S.A.",    107.500000,10000.000,70.4053433621716,ALTO DOS CLEMENTES,GRANDOLA,M80,8332.000,S,Regional,Não,Cobertura Regional Sul,38.1725,-8.648055556,38.1725,-8.648055556,Não,Setúbal,Grândola,Melides
Grândola,"Rádio Clube de Grândola, C.R.L.",     91.300000,400.000,31.4862267474058,GRANDOLA,ALTO DOS CLEMENTES,RCG 91.3,800000000.000,N,Local,Não,,38.1725,-8.648055556,38.1725,-8.648055556,Não,Setúbal,Grândola,Melides
Guarda,"Rádio e Televisão de Portugal, S.A.",     94.700000,10000.000,70.4053433621716,PEDRA DO VENTO,GUARDA,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,40.525555556,-7.280833333,40.5225,-7.285277778,Sim,Guarda,Guarda,Guarda
Guarda,"Rádio e Televisão de Portugal, S.A.",     88.400000,10000.000,70.4053433621716,PEDRA DO VENTO,GUARDA,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,40.525555556,-7.280833333,40.5225,-7.285277778,Sim,Guarda,Guarda,Guarda
Guarda,"Rádio e Televisão de Portugal, S.A.",    100.600000,10000.000,70.4053433621716,PEDRA DO VENTO,GUARDA,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,40.525555556,-7.280833333,40.5225,-7.285277778,Sim,Guarda,Guarda,Guarda
Guarda,"Radialtitude - Sociedade de Comunicação da Guarda, Lda.",     90.900000,2000.000,47.0828907919883,PEDRA DO VENTO,GUARDA,ALTITUDE,80EE,N,Local,Não,,40.522777778,-7.284166667,40.521944444,-7.286388889,Sim,Guarda,Guarda,Guarda
Guarda,"RÁDIO NOTICIAS - Produções e Publicidade, S.A.",    106.600000,10000.000,70.4053433621716,PEDRA DO VENTO,GUARDA,TSF,8343.000,S,Regional,Não,Cobertura Regional Norte,40.5225,-7.285,40.521944444,-7.285833333,Sim,Guarda,Guarda,Guarda
Guarda,"Rádio Comercial, S.A.",     96.100000,10000.000,70.4053433621716,PEDRA DO VENTO,GUARDA,COMRCIAL,8203.000,S,Nacional,Não,Cobertura Nacional,40.5225,-7.285277778,40.521944444,-7.286388889,Sim,Guarda,Guarda,Guarda
Guarda,"Rádio Renascença, Lda.",    104.000000,10000.000,70.4053433621716,PARQUE DE CAMPISMO,GUARDA,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,40.535,-7.273888889,40.533611111,-7.276111111,Sim,Guarda,Guarda,Guarda
Guarda,"Rádio Renascença, Lda.",     90.200000,10000.000,70.4053433621716,PARQUE DE CAMPISMO,GUARDA,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,40.535,-7.273888889,40.533611111,-7.276111111,Sim,Guarda,Guarda,Guarda
Guarda,Fundação Frei Pedro,    105.800000,2000.000,47.0828907919883,MATA MUNICIPAL  JUNTO R. SOEIRO VIEGAS,GUARDA,RADIO F,8022.000,N,Local,Não,,40.535,-7.273888889,40.536111111,-7.273055556,Sim,Guarda,Guarda,Guarda
Guimarães,"Interlocal - Comunicação, S.A.",     95.800000,2000.000,47.0828907919883,PENHA,PENHA - GUIMARÃES,FUNDACAO,8056.000,N,Local,Não,,41.429166667,-8.2675,41.428888889,-8.268611111,Sim,Braga,Guimarães,Costa
Guimarães,"Guimapress, S.A.",     98.000000,2000.000,47.0828907919883,PENHA,GUIMARÃES,SANTIAGO,801E,N,Local,Não,,41.429166667,-8.268611111,41.428888889,-8.268611111,Sim,Braga,Guimarães,Costa
Horta,"Rádio e Televisão de Portugal, S.A.",     88.900000,10000.000,70.4053433621716,CABEÇO GORDO,CABEÇO GORDO,,,,Nacional,Não,Rede 1 de Cobertura Nacional,38.575833333,-28.713055556,38.575833333,-28.713055556,Não,Açores Faial,Horta,Flamengos
Horta,"Rádio e Televisão de Portugal, S.A.",     93.800000,500.000,33.2926313568806,ESPALAMACA,HORTA,,,,Nacional,Não,Rede 1 de Cobertura Nacional,38.5475,-28.619444444,38.548055556,-28.617777778,Não,Açores Faial,Horta,Horta (Conceição)
Horta,"Rádio e Televisão de Portugal, S.A.",    101.400000,500.000,33.2926313568806,ESPALAMACA,HORTA,,,,Nacional,Não,Rede 2 de Cobertura Nacional,38.5475,-28.619444444,38.548055556,-28.617777778,Não,Açores Faial,Horta,Horta (Conceição)
Horta,"Rádio e Televisão de Portugal, S.A.",     98.100000,1000.000,39.5918340867651,"CAPELO, HORTA",CABEÇO VERDE,,,,Nacional,Não,Rede 1 de Cobertura Nacional,38.592222222,-28.799166667,38.591944444,-25.7975,Não,Açores Faial,Horta,Capelo
Horta,"Rádio e Televisão de Portugal, S.A.",    105.800000,10000.000,70.4053433621716,CABEÇO GORDO,CABEÇO GORDO,,,,Nacional,Não,Rede 2 de Cobertura Nacional,38.575833333,-28.713055556,38.575833333,-28.713055556,Não,Açores Faial,Horta,Flamengos
Horta,"Rádio e Televisão de Portugal, S.A.",    102.700000,1000.000,39.5918340867651,ESPALAMACA,HORTA,,,,Nacional,Não,Rede 3 de Cobertura Nacional,38.5475,-28.619444444,38.548055556,-28.617777778,Não,Açores Faial,Horta,Horta (Conceição)
Horta,"Rádio e Televisão de Portugal, S.A.",     92.900000,1000.000,39.5918340867651,"CAPELO, HORTA",CABEÇO VERDE,,,,Nacional,Não,Rede 2 de Cobertura Nacional,38.592222222,-28.799166667,38.591944444,-25.7975,Não,Açores Faial,Horta,Capelo
Horta,"Rádio e Televisão de Portugal, S.A.",     99.200000,10000.000,70.4053433621716,CABEÇO GORDO,CABEÇO GORDO,,,,Nacional,Não,Rede 3 de Cobertura Nacional,38.575833333,-28.713055556,38.575833333,-28.713055556,Não,Açores Faial,Horta,Flamengos
Horta,"Cooperativa de Radiodifusão do Pico, C.R.L.",    100.200000,500.000,33.2926313568806,CAPELO,CABEÇO GORDO,R PICO,84F9,S,Local,Não,,38.576111111,-28.714166667,38.576111111,-28.714166667,Não,Açores Faial,Horta,Flamengos
Horta,"Antena Nove, C.R.L.",     91.300000,500.000,33.2926313568806,CAPELO,CABEÇO GORDO,ANTENA 9,84AF,S,Local,Não,,38.575555556,-28.713333333,38.575555556,-28.713333333,Não,Açores Faial,Horta,Flamengos
Horta,"Antena Nove, C.R.L.",    102.200000,50.000,18.721822436302,"R S. JOÃO, 38 B",HORTA,ANTENA 9,84AF,S,Local,Sim,,38.5475,-28.619444444,38.538888889,-28.626944444,Não,Açores Faial,Horta,Horta (Conceição)
Horta,"Antena Nove, C.R.L.",     94.900000,50.000,18.721822436302,CABEÇO VERDE,CABEÇO VERDE - CAPELO,ANTENA 9,84AF,S,Local,Sim,,38.592222222,-28.799166667,38.592222222,-28.799166667,Não,Açores Faial,Horta,Capelo
Horta,"Antena Nove, C.R.L.",     95.900000,50.000,18.721822436302,HORTA,LOMBA DOS ESPALHAFATOS,ANTENA 9,84AF,S,Local,Sim,,38.606111111,-28.633333333,38.606111111,-28.633333333,Não,Açores Faial,Horta,Ribeirinha
Idanha-a-Nova,"Monsantorádio - Radio Clube de Monsanto, Unipessoal, Lda.",     98.700000,1000.000,39.5918340867651,ALTO DO CASTELO,MONSANTO,MONSANTO,840D,S,Local,Não,,40.0375,-7.114722222,40.0375,-7.114722222,Não,Castelo Branco,Idanha-a-Nova,Monsanto e Idanha-a-Velha
Idanha-a-Nova,"Monsantorádio - Radio Clube de Monsanto, Unipessoal, Lda.",    107.800000,50.000,18.721822436302,SERRA DE MONFORTINHO,TERMAS DE MONFORTINHO,MONSANTO,840D,S,Local,Sim,,39.997222222,-6.888888889,39.997222222,-6.888888889,Não,Castelo Branco,Idanha-a-Nova,Monfortinho e Salvaterra do Extremo
Ílhavo,"NOVOS MARES - Radiodifusão, Lda.",    105.000000,1000.000,39.5918340867651,COLONIA AGRICOLA,GAFANHA DA NAZARÉ,TERANOVA,807A,N,Local,Não,,40.625277778,-8.709166667,40.624166667,-8.711111111,Sim,Aveiro,Ílhavo,Gafanha da Nazaré
Lagoa (Algarve),"LAGOANIMA - Empresa Radiofónica e de Comunicação da Lagoa, Lda.",     99.400000,1000.000,39.5918340867651,SOBRAL,PORCHES,LAGOA FM,84B1,S,Local,Não,,37.138055556,-8.4,37.1325,-8.400555556,Sim,Faro,Lagoa (Algarve),Porches
